country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
KH,2006,26.2857429362019,612.252648550727,13639028.0,33.67153284671533,94.83255,1.16,-4.226681040637937,16.442708872647383,1.4868888792652912,0.0,17.544166874067702,9.330819981149862
KH,2007,25.4656283422573,731.692295125426,13841770.0,33.67153284671533,95.88748,1.257,-3.119997771929439,19.50822864669126,1.4864842274683987,0.0,1.1124134065782165,8.362068965517233
KH,2008,28.0340869915092,866.283999789749,14053479.0,33.67153284671533,94.57758,0.825,10.085981836897528,18.39457727804166,1.529493699143969,0.0,-1.3660803266495214,-34.36754176610979
KH,2009,28.0893239418879,875.748936193569,14276810.0,33.67153284671533,80.67822719063545,0.579,0.19703495389535863,1.0925904675738174,1.5891509853182884,0.0,-14.696244933909863,-29.81818181818182
KH,2010,27.8742916555508,952.274616324008,14500726.0,33.67153284671533,93.61728,0.771,-0.7655303017686244,8.738312656485414,1.5683895772234724,0.0,16.03784968996742,33.160621761658035
KH,2011,28.0358544598065,1088.98152823081,14722584.0,33.67153284671533,97.51867,0.577,0.5796122328494357,14.355828619534261,1.5299785679696365,0.0,4.167382346506976,-25.16212710765241
KH,2012,26.7953499375283,1192.80263041673,14945085.0,33.67153284671533,97.40673,0.505,-4.424707383385251,9.5337799121892,1.5112904093466106,0.0,-0.11478827592706908,-12.478336221837083
KH,2013,24.447155140413,1305.6600972686,15170208.0,33.67153284671533,80.67822719063545,0.438,-8.76344142767298,9.461537388833662,1.506334691304878,0.0,-17.173867564761224,-13.267326732673268
KH,2014,22.1938152404445,1431.56396469993,15396772.0,33.67153284671533,95.04806,0.692,-9.217186568442715,9.64292833140239,1.4934798520890524,0.0,17.811289749104088,57.99086757990865
KH,2015,20.1408488554582,1547.32010444393,15623251.0,33.67153284671533,95.26797,0.393,-9.250173360212155,8.085991447002062,1.4709511837935896,0.0,0.23136716309621885,-43.20809248554912
KH,2016,18.9079815555917,1675.19555711109,15852803.0,33.67153284671533,92.75899,0.716,-6.1212281007331555,8.26431791973099,1.4692972672589066,0.0,-2.6336028782811383,82.1882951653944
KH,2017,17.8681771583586,1826.35391688754,16073372.0,33.67153284671533,90.54321,0.141,-5.4992881930625686,9.023326210172478,1.3913564686320878,0.0,-2.38874959720885,-80.3072625698324
KH,2018,16.4979479082228,2036.67377566578,16274522.0,33.67153284671533,90.26554,0.129,-7.668545246624747,11.515832546665749,1.2514486692649207,0.0,-0.3066712567402874,-8.51063829787233
KH,2019,15.4385065177157,2225.87705485686,16481304.0,33.67153284671533,80.67822719063545,0.119,-6.421655568321083,9.289817615942454,1.2705872405960772,0.0,-10.621232431960802,-7.751937984496127
KH,2020,17.0396522911435,2081.73914242939,16725474.0,33.67153284671533,80.67822719063545,0.172,10.371118291723903,-6.47555587641111,1.4814968524335281,0.0,0.0,44.53781512605042
KH,2021,16.9044143710096,2167.40324198499,16974305.0,33.67153284671533,80.67822719063545,0.396,-0.793665961154566,4.115025644165482,1.487736610633572,0.0,0.0,130.2325581395349
KH,2022,16.5440859884848,2325.03050040841,17201724.0,33.67153284671533,80.67822719063545,0.245,-2.131563830704186,7.27263184671898,1.3397838674396478,0.0,0.0,-38.131313131313135
KH,2023,17.0784472455351,2429.74853452838,17423880.0,33.67153284671533,80.67822719063545,0.256,3.2299231122361993,4.503942382759085,1.291475203299397,0.0,0.0,4.489795918367356
KH,2024,16.576872609135,2627.87969756224,17638801.0,33.67153284671533,80.67822719063545,0.254,-2.936886645425152,8.15438965054538,1.2334853086683362,0.0,0.0,-0.78125
KH,2025,21.69014588257372,1521.7108224729895,63267350.39333333,33.67153284671533,80.67822719063545,0.263,30.84582595284564,-42.09358883952683,258.68282880074065,0.0,0.0,3.543307086614167
LA,2000,33.6302510315937,318.749852236965,5431212.0,33.67153284671533,75.85907,2.045,0.0,0.0,0.0,0.0,0.0,0.0
LA,2001,32.6831929428473,320.316005439568,5521482.0,33.67153284671533,75.377,1.881,-2.816089858671278,0.49134240898054404,1.6620599600972952,0.0,-0.6354810308114911,-8.019559902200491
LA,2002,33.3863040963517,313.350817148131,5610889.0,43.1,76.5676,1.775,2.151292729366805,-2.1744740110250627,1.6192572936034155,28.001300672013873,1.5795269113920707,-5.635300372142482
LA,2003,32.0861145753545,355.097216151461,5697945.0,33.67153284671533,79.17625,1.639,-3.8943799147246105,13.322575439015093,1.5515544862855002,-21.875793859129168,3.4069893793197137,-7.661971830985914
LA,2004,30.5213475173909,409.296298284117,5781626.0,33.67153284671533,79.84852,1.498,-4.876773266793433,15.263167286993951,1.4686171944446658,0.0,0.8490803744809705,-8.602806589383771
LA,2005,28.2951353434837,466.061506997741,5869523.0,33.67153284671533,81.105,1.35,-7.293951135803278,13.868976814986954,1.5202816647081674,0.0,1.5735795729213464,-9.879839786381838
LA,2006,26.7296699146578,579.391947440719,5963200.0,33.67153284671533,82.62215,1.199,-5.5326309975980426,24.316627471130616,1.5959899978243541,0.0,1.87059983971396,-11.185185185185187
LA,2007,25.788148677301,697.323013673925,6056236.0,36.0,85.23456,1.068,-3.522382582212502,20.35428120016669,1.5601690367587961,6.915239540429208,3.1618760828663994,-10.925771476230196
LA,2008,24.1764814314586,885.747376088762,6148969.0,33.67153284671533,87.67267,0.944,-6.249643066704524,27.02110194558216,1.5311985860524624,-6.467964314679642,2.8604711516079906,-11.610486891385774
LA,2009,24.2053770855586,935.03237283283,6241642.0,33.67153284671533,89.97949,0.835,0.11951968354833031,5.564227236178576,1.507130707603177,0.0,2.631173431811762,-11.546610169491522
LA,2010,22.5957941345194,1125.91610151261,6334194.0,33.67153284671533,94.53585,0.708,-6.6496917001119815,20.414665227201432,1.482814938761301,0.0,5.063776200554138,-15.209580838323355
LA,2011,20.7912551864005,1361.54704394913,6426590.0,33.67153284671533,94.33115,0.96,-7.9861718396616155,20.927930786313652,1.4586859827785403,0.0,-0.2165316120815608,35.593220338983045
LA,2012,18.5484865737637,1563.5650771337,6518978.0,21.7,94.32175,1.208,-10.78707654987463,14.837389136303525,1.437589763778302,-35.55386949924127,-0.009964894947211977,25.83333333333333
LA,2013,17.9304984280697,1812.51774424651,6611385.0,33.67153284671533,96.23668,1.469,-3.3317443082829468,15.922117393999713,1.4175074681951783,55.16835413232872,2.030210423364709,21.60596026490067
LA,2014,17.8487917824206,1981.03910900473,6703172.0,33.67153284671533,96.5434,1.733,-0.45568530053347045,9.297639446187977,1.3883172739146188,0.0,0.3187142366091633,17.9714091218516
